id,exam_Q1,exam_Q2,exam_Q3,exam_Q4,exam_Q5,exam_Q6,exam_Q7,exam_Q8,exam_Q9,exam_Q10
1,69,59,95,56,54,78,86,99,34,47
2,37,93,56,75,20,55,20,93,75,70
3,38,23,47,37,92,26,73,34,87,22
4,49,79,80,58,23,45,21,51,25,56
5,40,92,59,47,30,66,53,64,86,64
6,100,37,47,91,98,65,41,54,72,41
7,56,67,80,64,98,45,38,20,65,65
8,81,33,35,74,45,72,68,77,62,54
9,24,72,74,20,82,100,31,31,75,71
10,82,50,100,72,49,45,20,65,40,57
11,95,80,69,21,86,57,42,97,98,65
12,49,38,69,52,53,52,65,49,68,46
13,83,74,73,51,60,34,67,45,64,41
14,47,75,24,70,42,34,26,78,49,20
15,68,75,49,64,59,88,75,70,88,71
16,74,99,98,45,58,43,93,48,54,81
17,77,61,85,49,44,45,93,86,48,66
18,23,33,91,71,71,76,42,95,24,33
19,50,64,54,67,43,82,21,79,45,45
20,23,42,84,98,87,72,83,66,30,32
21,69,51,20,82,21,100,47,74,71,74
22,75,80,72,77,83,41,26,63,65,55
23,54,23,35,73,43,76,23,57,61,43
24,88,45,38,63,23,57,94,64,51,52
25,48,24,99,52,61,66,21,69,91,83
26,60,34,90,80,42,22,36,33,75,49
27,27,92,70,36,52,71,92,55,27,50
28,36,46,52,36,47,93,77,87,66,37
29,21,86,94,78,46,37,37,33,42,88
30,38,74,25,63,31,25,42,86,96,83
31,43,38,83,81,95,27,21,33,75,59
32,20,22,26,28,97,97,21,95,34,70
33,90,78,84,80,53,90,79,23,57,99
34,66,41,73,94,31,76,87,97,39,56
35,47,68,43,67,41,38,60,65,87,42
36,87,85,61,41,57,54,31,25,53,77
37,95,93,71,64,84,28,79,48,70,96
38,62,89,26,90,54,72,28,50,88,77
39,51,48,27,23,54,55,94,29,48,53
40,29,54,86,61,85,73,61,64,99,75
41,81,79,46,81,68,63,62,52,85,25
42,97,32,65,70,35,75,61,41,99,44
43,30,99,49,43,40,73,57,33,34,90
44,82,56,88,30,23,98,23,84,59,47
45,52,41,87,61,49,55,21,67,60,73
46,70,41,47,58,56,95,71,88,66,68
47,63,42,47,89,52,33,48,53,26,88
48,70,30,59,31,56,48,36,65,62,51
49,80,25,99,33,66,88,47,52,24,21
50,35,44,42,63,45,90,95,47,97,41
51,78,31,30,75,90,42,75,25,42,40
52,68,25,21,32,87,67,84,89,74,23
53,44,88,78,23,71,34,71,60,61,59
54,29,72,68,58,30,69,20,48,27,99
55,41,37,74,74,71,83,62,23,67,26
56,53,89,24,47,49,28,66,37,28,22
57,34,78,66,68,96,35,46,72,61,48
58,23,78,47,43,73,60,51,57,28,93
59,66,99,51,47,36,91,20,20,91,20
60,29,88,74,39,96,20,96,74,90,41
61,54,54,23,95,35,62,35,46,54,86
62,72,39,56,87,65,46,66,99,98,50
63,75,78,83,47,37,92,20,39,52,62
64,87,31,27,68,78,59,54,51,74,28
65,99,51,73,22,81,85,67,51,43,45
66,47,53,84,55,44,87,75,88,53,47
67,23,86,81,63,55,74,35,88,90,29
68,81,49,76,86,20,24,89,32,36,45
69,29,79,50,90,72,25,89,91,55,34
70,59,79,59,26,94,55,44,25,60,45
71,100,48,29,30,55,27,92,74,28,75
72,54,45,57,36,48,48,59,82,86,97
73,50,81,84,75,49,73,81,69,80,24
74,99,51,100,61,70,43,52,40,52,67
75,99,46,67,97,67,63,85,75,69,51
76,88,21,75,30,44,30,32,59,60,56
77,42,22,46,95,88,70,45,75,74,90
78,96,68,69,25,65,65,66,27,79,22
79,42,79,52,27,45,87,46,57,79,99
80,81,27,31,97,90,54,91,72,95,87
81,77,25,45,86,38,44,37,58,48,88
82,27,58,92,30,73,45,43,84,41,51
83,74,78,22,54,55,80,100,87,36,86
84,98,59,95,57,100,71,38,44,98,74
85,83,23,91,96,90,26,46,34,58,92
86,49,47,59,91,79,77,98,41,36,55
87,26,45,68,39,88,55,47,44,27,27
88,95,99,94,71,100,88,63,20,96,58
89,29,49,91,38,69,50,70,65,53,82
90,43,94,99,46,81,28,97,22,38,88
