tweet_id,user_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_type,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_location
347,3250721351,23/05/19 08:32,CodeClanScot,@CodeClanScot has arrived in the Highlands! https://t.co/IJT6zbhEBT via @YouTube,Twitter Web App,100,NA,NA,NA,FALSE,TRUE,0,1,NA,NA,NA,NA,youtu.be/r3970XRMgeg,https://t.co/IJT6zbhEBT,https://youtu.be/r3970XRMgeg,NA,Twitter for iPhone,5,1,1.11E+18,"Edinburgh, Scotland"
346,3250721351,22/05/19 14:04,CodeClanScot,"We talked to one of our grads, Alex, about what it was like coming to CodeClan and changing career ___ Read her story here: https://t.co/UuFLgOFmcB",Twitter Web App,148,NA,NA,NA,FALSE,FALSE,5,1,NA,NA,NA,NA,bit.ly/2Hw8T1e,https://t.co/UuFLgOFmcB,https://bit.ly/2Hw8T1e,NA,NA,NA,NA,NA,NA
345,3250721351,22/05/19 14:01,CodeClanScot,A week to go until our #Dundee Sourcing the Next Generation of Talent event - have you booked your place yet? Come along to hear from @eplacementscot @GA_Dundee @CodeClanScot and @OUScotland on how they can help you and your business access #talent https://t.co/5MZhUlj9uL,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,5,NA,NA,Dundee,NA,NA,NA,NA,NA,Hootsuite Inc.,6,5,39978805,Scotland
344,3250721351,22/05/19 13:22,CodeClanScot,"New #tech means new business opportunities. Join @IngledewStephen, @C_Leaver, @MaMChannel, @GerryMcCusker, @DonaldMcL, @pollyp + more at #DigitalScotland19 for some exciting chats around #skills &amp; the future of Scotland's private sector. Register now __ https://t.co/kn01pDpMtN https://t.co/pOtqTfxRK4",Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,4,NA,NA,tech,NA,NA,NA,NA,NA,Twitter Web Client,6,4,3288077937,"Edinburgh, Scotland"
343,3250721351,22/05/19 10:10,CodeClanScot,Scotland needs Data Analysts! Learn how you can gain the skills to transform your career at our Data Analysis Information Evening this Thursday. book your free ticket here: https://t.co/0UDZFQaGeB https://t.co/yXXYb8SbYX,Twitter Web App,196,NA,NA,NA,FALSE,FALSE,3,1,NA,NA,NA,NA,bit.ly/2JUmdy0,https://t.co/0UDZFQaGeB,http://bit.ly/2JUmdy0,photo,NA,NA,NA,NA,NA
342,3250721351,21/05/19 13:16,CodeClanScot,RT @TechmumsHQ: Congrats to our Edinburgh #techmums on graduating and well done to the amazing @CodeClanScot facilitators for running such a brilliant #techmumsClub #digitalskillsmatter #empoweringwomen #WomenInTech https://t.co/xVVDiXwdu9,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,techmums,NA,NA,NA,NA,NA,IFTTT,8,3,943917032,"Chicago, IL"
341,3250721351,21/05/19 12:41,CodeClanScot,@TechmumsHQ So proud of our #techmums ___,Twitter Web App,29,1.13E+18,1875634988,TechmumsHQ,FALSE,FALSE,2,1,NA,NA,techmums,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,3250721351,21/05/19 12:35,CodeClanScot,Congrats to our Edinburgh #techmums on graduating and well done to the amazing @CodeClanScot facilitators for running such a brilliant #techmumsClub #digitalskillsmatter #empoweringwomen #WomenInTech https://t.co/RATLdU4Fbr,Twitter Web App,139,NA,NA,NA,FALSE,TRUE,0,7,NA,NA,techmums,NA,NA,NA,NA,NA,Twitter for iPhone,17,7,1875634988,"London, England"
339,3250721351,21/05/19 12:35,CodeClanScot,Is finance holding you back from joining our Professional Software Development course? We?ve released a deferred payment plan specifically for anyone looking to join our next Glasgow cohort on the 15th July. Find more info and apply here https://t.co/JNJBWZyO9o,Twitter Web App,261,NA,NA,NA,FALSE,FALSE,2,1,NA,NA,NA,NA,codeclan.com/courses/edaid-?,https://t.co/JNJBWZyO9o,https://codeclan.com/courses/edaid-apply/,NA,NA,NA,NA,NA,NA
338,3250721351,21/05/19 11:21,CodeClanScot,Scotland needs data analysts! Find out how you can gain the skills to transform your career this Thursday at our Data Analysis Information Evening. Find out more about the event and book your free ticket here: https://t.co/PmruJ6rao4 https://t.co/GihP3WR9Yz,Twitter Web App,233,NA,NA,NA,FALSE,FALSE,4,2,NA,NA,NA,NA,bit.ly/2JUmdy0,https://t.co/PmruJ6rao4,https://bit.ly/2JUmdy0,photo,NA,NA,NA,NA,NA
337,3250721351,21/05/19 10:04,CodeClanScot,@_LaurenAllison_ Us too! __,Twitter Web App,10,1.13E+18,855466789,_LaurenAllison_,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
