"","id","country","cancer_site_icd10code","cancer_site","sex","sex_qf","year","incidences_age_under5","incidences_age5to9","incidences_age10to14","incidences_age15to19","incidences_age20to24","incidences_age25to29","incidences_age30to34","incidences_age35to39","incidences_age40to44","incidences_age45to49","incidences_age50to54","incidences_age55to59","incidences_age60to64","incidences_age65to69","incidences_age70to74","incidences_age75to79","incidences_age80to84","incidences_age85to89","incidences_age90and_over","incidences_all_ages","incidence_rate_age_under5","incidence_rate_age5to9","incidence_rate_age10to14","incidence_rate_age15to19","incidence_rate_age20to24","incidence_rate_age25to29","incidence_rate_age30to34","incidence_rate_age35to39","incidence_rate_age40to44","incidence_rate_age45to49","incidence_rate_age50to54","incidence_rate_age55to59","incidence_rate_age60to64","incidence_rate_age65to69","incidence_rate_age70to74","incidence_rate_age75to79","incidence_rate_age80to84","incidence_rate_age85to89","incidence_rate_age90and_over","crude_rate","crude_rate_lower95pc_confidence_interval","crude_rate_upper95pc_confidence_interval","easr","easr_lower95pc_confidence_interval","easr_lower95pc_confidence_interval_qf","easr_upper95pc_confidence_interval","easr_upper95pc_confidence_interval_qf","wasr","wasr_lower95pc_confidence_interval","wasr_lower95pc_confidence_interval_qf","wasr_upper95pc_confidence_interval","wasr_upper95pc_confidence_interval_qf","standardised_incidence_ratio","standardised_incidence_ratio_qf"
"1",1,"S92000003","C00-C97, excluding C44","All cancer types","All","d",1995,56,39,40,51,95,189,301,425,580,1026,1423,2057,2901,3690,4318,3450,2883,1603,610,25737,17.5920282980341,12.0228989984,12.4743885210677,16.5671016342958,26.589789520824,47.4607256217606,73.7069451042427,113.365075554489,172.76095840631,292.53104934822,490.523891926177,746.542206672788,1117.52288206108,1535.30579213874,2047.21198932302,2379.08064048988,2713.28408074914,2866.23634380532,2587.9258410759,504.282195823022,498.139894756953,510.481326538133,655.18312992285,"646.620983024154"," ","663.80081277709"," ",296.99307228338,"293.080219745995"," ","300.93151294254"," ","100"," "
"2",2,"S92000003","C00-C97, excluding C44","All cancer types","All","d",1996,58,19,28,55,106,213,302,459,614,1120,1633,2169,2904,3972,4490,3853,2972,1607,678,27252,18.7046693949684,5.87253508067009,8.77283679077098,17.7163895930706,31.1355365152285,54.4166939175932,74.2695394058929,120.115562161766,180.686550034578,315.339285362345,550.560168842947,794.508404792692,1122.47934970411,1660.50734937543,2153.18806107573,2547.72437232615,2831.15027387473,2833.21579689704,2783.70832649039,535.17248963609,528.837176415447,541.564757471237,690.349939538486,"681.603490855787"," ","699.151377674891"," ",312.975718587534,"308.969422551488"," ","317.007464891623"," ","100"," "
"3",3,"S92000003","C00-C97, excluding C44","All cancer types","All","d",1997,57,38,38,57,113,194,316,426,607,1068,1577,2105,2791,3645,4143,4000,2767,1571,685,26198,18.8302142349813,11.7365454405065,11.8687318260044,18.0818058965721,35.0875013972899,51.1886857173012,77.8747104342254,109.635013202526,174.720504760918,313.981896062585,495.58156197755,770.463962051447,1081.51466302933,1519.3260778045,2010.71605369675,2525.15687537088,2712.93127959762,2724.35619526576,2739.23301475587,515.369815908438,509.147773625128,521.648914285238,656.751231210074,"648.295873382574"," ","665.260613769599"," ",298.262581795431,"294.352901834517"," ","302.197698840721"," ","100"," "
"4",4,"S92000003","C00-C97, excluding C44","All cancer types","All","d",1998,59,25,35,57,89,176,305,456,647,912,1621,2096,2756,3635,4247,3919,2579,1489,657,25760,19.9061375008013,7.79539884378644,10.8230462855305,17.9067341886679,28.7613550799339,48.4406780594004,75.8176498517206,115.642997892559,182.202709666882,272.892117846307,491.081166234459,758.211546809434,1057.96138978353,1516.06781640356,2064.46657819647,2382.32737396886,2636.6368822459,2537.01589681553,2518.495802507,507.379256145769,501.201983203743,513.613656651329,638.640623355663,"630.404503952174"," ","646.929456389622"," ",291.319591625357,"287.474268494773"," ","295.190108905357"," ","100"," "
"5",5,"S92000003","C00-C97, excluding C44","All cancer types","All","d",1999,56,28,31,51,90,179,302,421,631,924,1665,2080,2839,3509,4124,4022,2514,1711,670,25847,19.2896583319268,8.79258910346993,9.54965667443988,16.0541433855355,29.2795284043958,51.7299178101194,76.1647276606584,105.491047042492,173.774627252048,277.839586728649,492.607922555526,740.817249644728,1082.05968670199,1469.9906580816,2004.75424260249,2363.60217202228,2664.49041885705,2897.98614522112,2472.78095589592,509.606758741707,503.412785355444,515.857917157878,635.837228769036,"627.678148088008"," ","644.04826796225"," ",289.19445048359,"285.375482102147"," ","293.03845154494"," ","100"," "
"6",6,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2000,44,35,27,47,99,187,299,441,659,983,1711,2118,2922,3457,4124,4019,2717,1574,707,26170,15.536009999541,11.1699038111712,8.36213624707325,14.7847094647306,31.9762277740993,56.6714751554677,77.3143228015194,109.413533536116,177.482601857238,294.879948163525,494.704550645776,748.428406356341,1110.03054293486,1448.63768553206,1996.37902156128,2418.50556936279,2705.23223975706,2651.39391897583,2498.58637263217,516.893346553583,510.649583244599,523.194395914839,637.124833870657,"629.043479577563"," ","645.257054665297"," ",291.10059630844,"287.278202478104"," ","294.947902619674"," ","100"," "
"7",7,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2001,56,31,36,51,113,156,280,420,661,922,1675,2217,2886,3558,4109,3972,2694,1608,746,26191,20.27068605413,10.1369137348641,11.1481684488253,16.05768171156,35.828088587327,49.5418962478365,73.4451273092591,104.158400126974,174.457887291231,272.613303056107,477.367099574502,764.119143304221,1103.41768909314,1485.8183275983,1983.31869213913,2398.31900299488,2538.42022444384,2706.66060697874,2538.71022630594,517.179416294775,510.934694933619,523.481409407274,630.909236910446,"622.934152172593"," ","638.934346102669"," ",288.960917490016,"285.15485153046"," ","292.791866965186"," ","100"," "
"8",8,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2002,62,39,51,61,106,169,296,435,729,959,1647,2244,2985,3633,4135,4033,2976,1471,739,26770,22.9813480413961,12.9852401104078,15.7897669925757,19.1466254857279,32.7994653068297,56.0738980981326,79.8629379308484,108.020322720026,188.76914233038,277.010710695675,488.703733376062,719.350661007604,1138.53946555394,1516.27080020534,1976.47351238702,2453.37194164953,2658.42459757383,2534.02239448751,2490.7313784968,528.424792735886,522.113460418427,534.79337515801,638.419540242069,"630.443405234105"," ","646.445120619615"," ",293.910493136318,"290.068059772441"," ","297.777859512388"," ","100"," "
"9",9,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2003,58,43,38,78,96,144,298,454,675,1042,1539,2292,2958,3662,4233,4086,3127,1515,798,27136,21.8765558757412,14.5392085260624,11.8737755168998,24.3049713014377,29.2246339310177,49.1169187319649,83.1048878502327,113.403040400458,171.812121536077,294.656592163605,464.188981317826,707.429241643261,1114.09911640415,1511.85497421755,2013.65268891373,2482.69827863822,2690.79519150511,2732.1911632101,2672.74006095723,535.385222452402,529.033898903646,541.793767069335,642.380207559664,"634.399385117551"," ","650.410226575091"," ",292.949508004191,"289.13986127039"," ","296.783743637211"," ","100"," "
"10",10,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2004,51,41,46,55,99,157,257,448,710,1062,1680,2425,3146,3905,4105,4017,3278,1552,811,27845,19.338325907669,14.0405188827856,14.4248106743599,17.0516199038909,29.989458251039,53.212041512171,74.5152161811097,112.898104420666,177.894926737357,293.303726780122,508.499200929827,728.665865384615,1162.58444073258,1596.04034855396,1950.19288143967,2427.26366355479,2722.22960403933,2872.79727528506,2688.54632852644,547.666345416282,541.252335549844,554.137397033753,651.325774574499,"643.329445440205"," ","659.370809767506"," ",298.325420081772,"294.501466111082"," ","302.17369930016"," ","100"," "
"11",11,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2005,54,22,36,60,119,156,248,512,755,1026,1532,2542,2972,3779,4218,4029,3114,1580,772,27526,20.33944269927,7.63687360279926,11.412051125989,18.5880516004312,35.4518019346555,51.519494844748,74.2372718999952,131.27027061674,185.939524093329,276.651279175115,461.641841866576,744.838579239456,1086.84124877036,1537.1786527823,1993.73236340948,2408.2774450382,2633.27019347856,2689.31592653742,2522.05161711859,538.648193808462,532.303458160337,545.049682766007,631.202478132961,"623.467430903831"," ","638.984552912474"," ",290.167129334832,"286.426467776326"," ","293.931723323311"," ","100"," "
"12",12,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2006,51,21,26,60,113,155,266,447,705,1107,1621,2447,3085,3856,4261,4065,3232,1737,816,28071,19.0378779112088,7.41588270192389,8.37639660304901,18.4589258135772,33.3897709107134,49.6551370641961,82.6721118373411,115.656291236513,172.931869749187,292.305783007185,481.604834468764,706.45364312976,1099.63357429032,1578.19988621899,2002.59430193539,2410.78894773362,2734.8113047893,2747.24405712749,2662.49021143305,546.8731735827,540.494212426992,553.308634837656,640.244261689724,"632.471531303373"," ","648.063805663257"," ",291.958816256996,"288.23485166069"," ","295.706352949748"," ","100"," "
"13",13,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2007,54,31,21,67,101,175,287,446,747,1156,1713,2407,3463,4042,4121,4245,3168,1862,820,28926,19.6859722865257,11.1900430275203,6.84246367792198,20.3479808425279,29.5685624701753,53.5931939706126,92.1102884303701,117.436410553478,182.582553222692,298.671737540919,496.467055802549,722.775071917171,1143.8820642067,1645.80567929184,1926.87146397344,2473.70414614959,2679.04711165233,2784.9237212085,2747.16070890147,559.497098646035,553.067784108104,565.982507248697,646.428345350998,"638.709149116031"," ","654.193266330197"," ",297.524017607815,"293.787929409992"," ","301.283385539223"," ","100"," "
"14",14,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2008,61,38,31,59,115,203,259,487,834,1184,1720,2444,3653,4045,4399,4271,3220,2036,764,29823,21.6253775578213,13.9594001866151,10.20448470644,17.9262108547764,33.1713226704357,60.3304802662863,84.4950037027733,131.666459388873,204.52304930624,299.588319091923,487.630625471329,745.849609375,1159.78931393684,1621.87303280233,2028.1516111334,2460.99061930993,2700.97973426386,2926.92744497635,2622.18561230093,573.199561782852,566.712321226303,579.742540023715,655.434968000556,"647.728730879845"," ","663.186146149041"," ",303.334675908834,"299.578387797818"," ","307.114043377551"," ","100"," "
"15",15,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2009,51,23,32,67,118,205,245,420,802,1207,1824,2562,3762,4228,4554,4329,3301,2096,807,30633,17.738760234569,8.53166360021366,10.6617267332802,20.1612296544606,33.8398800118153,60.2987287263144,79.1719582618362,117.475616816914,198.501585290092,300.543318575918,505.08686718763,785.75700418641,1163.58192705498,1664.52105650632,2073.21348089539,2476.84218355752,2731.75656664294,2902.24314594295,2775.86681342873,585.50431009767,578.965760807379,592.098286681498,663.50310363885,"655.811784147429"," ","671.238642331221"," ",306.07513738033,"302.343725576769"," ","309.829117790036"," ","100"," "
"16",16,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2010,44,17,32,56,133,208,290,427,812,1222,1831,2514,3805,4142,4578,4195,3423,2011,878,30618,15.1244328337687,6.3056847602727,10.8217422328636,16.876314695051,37.6000429714777,60.6589073814308,91.9129299306533,123.084905524408,204.671139856932,299.175431380614,496.066149377953,768.173068108901,1148.4573546545,1611.77976753326,2070.63123043801,2368.71823828346,2779.85317047817,2813.33501210112,2707.36971939562,581.84789631713,575.348592559881,588.402308240919,652.330011050353,"644.813554531501"," ","659.889420795537"," ",301.869506635143,"298.187289130737"," ","305.574007852515"," ","100"," "
"17",17,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2011,52,31,33,61,119,211,256,385,798,1252,1844,2496,3844,4313,4661,4452,3560,2024,938,31330,17.7120162405564,11.4433370247324,11.3688823355129,18.6640802127093,32.5510148257563,60.9212095314264,79.064567337686,114.54890047932,202.710941310356,304.794178723321,488.713734075062,751.979368771164,1142.47331801714,1631.16034385601,2115.10797896237,2485.15160987809,2839.00602890044,2816,2667.12161278399,591.14322911753,584.61535048659,597.725822706068,658.683806547746,"651.211044105616"," ","666.198611017558"," ",303.157436130788,"299.489477169933"," ","306.847411540269"," ","100"," "
"18",18,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2012,54,32,32,58,108,198,279,406,741,1247,1952,2589,3730,4643,4554,4376,3523,2158,983,31663,18.2561952736739,11.6111568703578,11.3645242170908,18.1854666767,29.0840934245712,57.0059769903147,83.7996377693077,126.091263987279,192.232359892184,303.949145188731,507.399137525441,763.050551730642,1156.14819774164,1624.87532590247,2055.58288910054,2423.04774666526,2738.92728587311,2983.8776582506,2663.5957187373,595.886028304727,589.340374942619,602.486255004889,653.808906520362,"646.444001769855"," ","661.214951269107"," ",302.281037749256,"298.632180696878"," ","305.951745396742"," ","100"," "
"19",19,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2013,57,23,30,65,95,215,311,386,745,1292,1947,2701,3594,4824,4650,4511,3572,2293,996,32307,19.3849198926688,8.13591937657633,10.9038570577032,20.7337184488627,25.6564679955817,61.0665341191508,91.2802420834202,122.886886759415,199.05096773504,316.808764715546,496.131853346788,779.684892991785,1132.64987756414,1622.15601482269,2067.4017428419,2457.73469977063,2740.84020717437,3139.46165009995,2642.61077208809,606.396756574131,599.80219002966,613.04575099202,658.667964897298,"651.337134554225"," ","666.039252034146"," ",304.056317360921,"300.412033818583"," ","307.722268581323"," ","100"," "
"20",20,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2014,59,43,26,66,128,214,297,406,768,1316,1954,2643,3516,4898,4845,4692,3701,2244,1083,32899,20.2153794495249,14.8932706661448,9.56237426397302,21.4097336434501,34.731549542656,59.8504298603304,86.4170948725857,128.906485647247,212.808405932034,326.00240785973,490.172714387849,745.23548369815,1113.32763370381,1602.86932589822,2109.87001110458,2516.97833853681,2794.40967057527,2998.83734915608,2738.16747572816,615.210561747326,608.580451685171,621.894896220669,659.159345940345,"651.908952816303"," ","666.449280834954"," ",304.882225295917,"301.236280206928"," ","308.549798788182"," ","100"," "
"21",21,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2015,65,33,31,67,125,216,347,477,670,1240,1980,2612,3608,4908,4716,4573,3639,2301,1088,32696,22.3234217340834,11.2876082584247,11.3911119930037,22.0407062237033,33.9978785323796,59.3592498749608,99.7413049726933,148.998709927312,191.524333595369,313.275293190305,488.535454597045,719.916211895706,1138.17752793393,1568.276589286,2029.90625242117,2438.03613603527,2708.77840718768,3027.15360732516,2734.01181052896,608.524101991439,601.945779315571,615.156393052367,646.809916823846,"639.678777349472"," ","653.980038842068"," ",300.608417563681,"296.990865589951"," ","304.247565925322"," ","100"," "
"22",22,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2016,64,40,38,50,120,206,356,459,719,1206,2124,2623,3517,4881,4811,4507,3617,2282,1043,32663,22.2811744964106,13.3841037000355,13.8495068846628,16.7414451215429,32.9700220074897,55.0619580673787,101.161366587765,140.044484718675,212.949964162802,307.456195140357,522.263831754329,707.349368023925,1093.75777479226,1537.20663634875,2012.81069705756,2412.14690172656,2651.40963802431,2926.4664392521,2539.75211240168,604.344366939886,597.807937841473,610.934447934982,637.171580752199,"630.155672596943"," ","644.225792304763"," ",297.524383766706,"293.937214256005"," ","301.13300879506"," ","100"," "
"23",23,"S92000003","C00-C97, excluding C44","All cancer types","All","d",2017,57,34,43,66,98,169,345,411,620,1139,2056,2831,3502,4844,5128,4646,3629,2277,1094,32989,20.2051711058964,11.2601051163931,15.3518245464964,22.7554820024824,27.4810787164654,44.2121345304619,97.1612031091585,121.219986255836,190.749862321672,295.790375775833,505.098894727662,747.190447786405,1064.40210205738,1587.85312030839,1975.87947443455,2467.83737557234,2631.75070525697,2843.01606922126,2621.92929898143,608.114584869488,601.569869936939,614.712752413099,634.49258730056,"627.55064878496"," ","641.472182816853"," ",293.648991400872,"290.118379620122"," ","297.20066143027"," ","100"," "
