"","id","hb","cancer_site_icd10code","cancer_site","sex","sex_qf","year","incidences_age_under5","incidences_age5to9","incidences_age10to14","incidences_age15to19","incidences_age20to24","incidences_age25to29","incidences_age30to34","incidences_age35to39","incidences_age40to44","incidences_age45to49","incidences_age50to54","incidences_age55to59","incidences_age60to64","incidences_age65to69","incidences_age70to74","incidences_age75to79","incidences_age80to84","incidences_age85and_over","incidences_all_ages","incidence_rate_age_under5","incidence_rate_age5to9","incidence_rate_age10to14","incidence_rate_age15to19","incidence_rate_age20to24","incidence_rate_age25to29","incidence_rate_age30to34","incidence_rate_age35to39","incidence_rate_age40to44","incidence_rate_age45to49","incidence_rate_age50to54","incidence_rate_age55to59","incidence_rate_age60to64","incidence_rate_age65to69","incidence_rate_age70to74","incidence_rate_age75to79","incidence_rate_age80to84","incidence_rate_age85and_over","crude_rate","crude_rate_lower95pc_confidence_interval","crude_rate_upper95pc_confidence_interval","easr","easr_lower95pc_confidence_interval","easr_lower95pc_confidence_interval_qf","easr_upper95pc_confidence_interval","easr_upper95pc_confidence_interval_qf","wasr","wasr_lower95pc_confidence_interval","wasr_lower95pc_confidence_interval_qf","wasr_upper95pc_confidence_interval","wasr_upper95pc_confidence_interval_qf","standardised_incidence_ratio","sir_lower95pc_confidence_interval","sir_upper95pc_confidence_interval"
"1",1,"S08000015","C00-C97, excluding C44","All cancer types","All","d","2015-2019",13,10,13,25,33,69,96,145,231,403,727,999,1379,1841,2085,1931,1439,1238,12677,14.2465753424658,10.0094088443137,13.2397722759169,25.0222698201399,31.3333776431603,67.922076643665,98.0732689046442,148.133013229811,217.80124457854,303.457000218369,499.23432424823,717.760071273072,1087.95127493057,1492.24696241418,1955.23129870495,2488.81900318352,2642.11222091657,2680.98837083396,685.024775882286,673.15137595971,697.055044632848,627.150378665787,"616.108624107174"," ","638.288840836693"," ",293.339868445692,"287.438347717446"," ","299.300527110028"," ",97.9222707098028,96.2250032205111,99.6419621352507
"2",2,"S08000015","C00-C97, excluding C44","All cancer types","Male"," ","2015-2019",8,6,4,13,12,32,26,37,74,124,284,432,682,985,1142,1035,729,512,6137,16.9909098632232,11.7534133871378,8.03051596065047,25.439815267803,22.2205762536108,64.006400640064,56.4579171371493,80.3945853160376,148.917330757466,199.382557242089,412.191582002903,646.126233921627,1124.89278881045,1661.18559743655,2278.39514793608,2954.18866847438,3156.11741276301,3177.16413279553,691.839072166808,674.636968217071,709.368866009803,661.189667458263,"644.485438195585"," ","678.104640399519"," ",290.295987215303,"282.108641895262"," ","298.598816666815"," ",95.5586308329272,93.1826310274604,97.9798920276348
"3",3,"S08000015","C00-C97, excluding C44","All cancer types","Female"," ","2015-2019",5,4,9,12,21,37,70,108,157,279,443,567,697,856,943,896,710,726,6540,11.320925598877,8.18715844198375,18.6031129208954,24.5851259987707,40.9237065185618,71.7165452008063,135.046494578848,208.24495777255,278.526823729776,395.122572970217,577.401822139385,783.982965308408,1054.08021293328,1335.91360259692,1668.61308702268,2105.65895845084,2263.59752598355,2415.00898143836,678.751346605309,662.399713880296,695.404619200516,593.111089873312,"578.727742631456"," ","607.668533184429"," ",296.383749676082,"287.916228412949"," ","304.972279424121"," ",100.249131402334,97.8340540903099,102.708759837734
"4",4,"S08000015","C67","Bladder","All","d","2015-2019",0,0,0,1,0,0,0,0,6,4,8,9,27,52,65,66,66,65,369,0,0,0,1.0008907928056,0,0,0,0,5.65717518385819,3.0119801510508,5.49363768086085,6.46630694840606,21.3014390305478,42.1492895413023,60.9544529572287,85.0657971051851,121.180963572268,140.762717370119,19.939586834469,17.9567725233476,22.0815358168168,19.2225813286444,"17.264277141679"," ","21.2845736715748"," ",6.94624385431792,"6.16519819012562"," ","7.77319702864394"," ",109.703767634632,98.7947050619885,121.488358528889
"5",5,"S08000015","C67","Bladder","Male"," ","2015-2019",0,0,0,1,0,0,0,0,4,1,8,7,20,37,48,47,45,38,256,0,0,0,1.95690886675408,0,0,0,0,8.04958544634951,1.60792384872652,11.611030478955,10.469638049656,32.9880583228871,62.3998650813728,95.7644195279612,134.151562722991,194.822062516235,235.805150480918,28.8595083061272,25.4322390012165,32.6199002328989,28.5968583586683,"25.1242452409388"," ","32.2909883158063"," ",10.356367769778,"8.99118527585413"," ","11.8166301052698"," ",110.315513828029,97.21477176452,124.68961761373
"6",6,"S08000015","C67","Bladder","Female"," ","2015-2019",0,0,0,0,0,0,0,0,2,3,0,2,7,15,17,19,21,27,113,0,0,0,0,0,0,0,0,3.54811240420097,4.24862981688405,0,2.76537201166987,10.5861714354848,23.4097009800861,30.0810418657324,44.6512502350066,66.9514761206402,89.8143836072118,11.7276608817125,9.66525244165746,14.0998828511563,9.84830429862054,"8.1104323869892"," ","11.7523636398515"," ",3.53611993885785,"2.81007179831686"," ","4.34434156265981"," ",108.342650004623,89.2896778867223,130.257746046451
"7",7,"S08000015","C40-C41","Bone and articular cartilage","All","d","2015-2019",0,0,2,2,1,0,1,0,2,1,1,4,2,1,0,4,2,0,23,0,0,2.03688804244875,2.00178158561119,0.949496292216979,0,1.02159655109004,0,1.88572506128606,0.752995037762701,0.686704710107607,2.87391419929158,1.57788437263317,0.810563260409659,0,5.15550285485971,3.67215041128085,0,1.24284687586121,0.787858306650565,1.86488054592497,1.18535062900093,".748149794466618"," ","1.72153416399398"," ",0.959370064711362,".5447750695134"," ","1.4893511339804"," ",136.365599100643,86.4440922526162,204.615353536594
"8",8,"S08000015","C40-C41","Bone and articular cartilage","Male"," ","2015-2019",0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,8,0,0,2.00762899016262,0,0,0,0,0,0,0,0,5.98265031408914,1.64940291614436,0,0,5.70857713714857,0,0,0.901859634566476,0.389358978097043,1.77702300871572,0.826599125329342," ","z"," ","z",0.543054509695461," ","z"," ","z",80.1646952744176,34.6094254972528,157.956407548723
"9",9,"S08000015","C40-C41","Bone and articular cartilage","Female"," ","2015-2019",0,0,1,2,1,0,1,0,2,1,1,0,1,1,0,2,2,0,15,0,0,2.06701254676616,4.09752099979512,1.94874792945532,0,1.92923563684068,0,3.54811240420097,1.41620993896135,1.30339011769613,0,1.51231020506926,1.56064673200574,0,4.7001316036849,6.37633105910859,0,1.55676914359016,0.871311872002785,2.56765395631974,1.54410213267251," ","z"," ","z",1.37568561972726," ","z"," ","z",217.80265098964,121.902490386791,359.232350418235
"10",10,"S08000015","ICD-10 C40-C41, C47+C49","Bone and connective tissue","All","d","2015-2019",1,2,2,4,4,0,2,1,2,5,5,8,7,8,8,16,6,4,85,1.0958904109589,2.00188176886273,2.03688804244875,4.00356317122239,3.79798516886792,0,2.04319310218009,1.0216069877918,1.88572506128606,3.76497518881351,3.43352355053803,5.74782839858316,5.52259530421611,6.48450608327727,7.50208651781277,20.6220114194388,11.0164512338425,8.66232106893042,4.59312975861752,3.66882891428109,5.6794760762189,4.39194476335628,"3.49599466815947"," ","5.38856093848637"," ",2.99870034644243,"2.24499039345381"," ","3.8598252179583"," ",116.40554083772,92.9806115768212,143.937253914233
